ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
7;Z MATERIALNO ŠKODO;LJUBLJANA;02.01.2025;19;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;28233;TRŽAŠKA CESTA;330;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;DEŽEVNO;TEKOÈ (NORMALEN);MOKRO;ASFALT;98842;456233;2;UDELEŽENEC;38;MOŠKI;LJUBLJANA;BOSNA IN HERCEGOVINA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;08;11;,00;,00
8;Z MATERIALNO ŠKODO;GROSUPLJE;02.01.2025;19;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;09193;VIŠNJA GORA;00001;CESTA DOLENJSKEGA ODREDA;11;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;OBLAÈNO;REDEK;MOKRO;ASFALT;90462;480113;1;UDELEŽENEC;45;MOŠKI;GROSUPLJE;SRBIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;25;09;,00;,00
9;Z MATERIALNO ŠKODO;LJUBLJANA;03.01.2025;5;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00020;LJ MALENCE - ŠMARJE-SAP;3950;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;SNEG;GOST;MOKRO;ASFALT;94733;468416;1;;-1;;CELJE;SLOVENIJA;;;;0;0;,00;,00
9;Z MATERIALNO ŠKODO;LJUBLJANA;03.01.2025;5;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00020;LJ MALENCE - ŠMARJE-SAP;3950;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;SNEG;GOST;MOKRO;ASFALT;94733;468416;2;POVZROÈITELJ;40;MOŠKI;LOGATEC;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;21;02;,00;,00
10;Z MATERIALNO ŠKODO;SLOVENSKE KONJICE;01.01.2025;5;NE;CESTA;REGIONALNA CESTA II. REDA;00430;PESNICA-MB-SL.BISTR-CELJE;00280;SL.KONJICE-STRANICE;1117;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;MEGLA;TEKOÈ (NORMALEN);VLAŽNO;ASFALT;133974;531600;1;POVZROÈITELJ;53;MOŠKI;;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;18;06;,00;,00
11;Z LAŽJO TELESNO POŠKODBO;KRANJ;01.01.2025;4;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;18010;BRITOF;0;NI ODSEKOV;427;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;JASNO;REDEK;MOKRO;ASFALT;124920;453285;1;POVZROÈITELJ;20;MOŠKI;KRANJ;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,39;,00
11;Z LAŽJO TELESNO POŠKODBO;KRANJ;01.01.2025;4;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;18010;BRITOF;0;NI ODSEKOV;427;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;JASNO;REDEK;MOKRO;ASFALT;124920;453285;2;UDELEŽENEC;55;MOŠKI;KRANJ;SLOVENIJA;BREZ POŠKODBE;OSTALO;NE;0;0;,00;,00
12;Z MATERIALNO ŠKODO;JESENICE;03.01.2025;8;DA;CESTA;REGIONALNA CESTA;00201;KORENSKO SEDLO - HRUŠICA;00203;KR.GORA-MOJSTRANA-DOVJE;2100;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;JASNO;TEKOÈ (NORMALEN);MOKRO;ASFALT;150394;409032;1;POVZROÈITELJ;24;MOŠKI;RADOVLJICA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;04;05;,00;,00
13;Z MATERIALNO ŠKODO;GROSUPLJE;03.01.2025;8;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00622;GROSUPLJE-IVANÈNA GORICA;12050;CESTA;OSTALO;TRÈENJE V OBJEKT;OBLAÈNO;TEKOÈ (NORMALEN);MOKRO;ASFALT;88541;483318;1;;-1;;CELJE;SLOVENIJA;;;;0;0;,00;,00
13;Z MATERIALNO ŠKODO;GROSUPLJE;03.01.2025;8;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00622;GROSUPLJE-IVANÈNA GORICA;12050;CESTA;OSTALO;TRÈENJE V OBJEKT;OBLAÈNO;TEKOÈ (NORMALEN);MOKRO;ASFALT;88541;483318;2;POVZROÈITELJ;59;MOŠKI;;FRANCIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;40;05;,00;,00
14;Z MATERIALNO ŠKODO;RADOVLJICA;03.01.2025;10;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;44060;RADOVLJICA;00010;GRADNIKOVA CESTA;75;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;NEZNANO;MOKRO;ASFALT;135128;435982;1;UDELEŽENEC;30;MOŠKI;RADOVLJICA;SLOVENIJA;BREZ POŠKODBE;OSTALO;NEZNANO;12;09;,00;,00
15;Z MATERIALNO ŠKODO;KAMNIK;03.01.2025;10;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;15099;VOLÈJI POTOK;0;NI ODSEKOV;24;CESTA;OSTALO;PREVRNITEV VOZILA;OBLAÈNO;TEKOÈ (NORMALEN);MOKRO;ASFALT;117651;469168;1;POVZROÈITELJ;24;MOŠKI;DOMŽALE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
16;Z MATERIALNO ŠKODO;MARIBOR;01.01.2025;1;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00258;LJUBLJANSKA ULICA;88;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;MEGLA;REDEK;VLAŽNO;ASFALT;155835;549052;1;UDELEŽENEC;21;ŽENSKI;MURSKA SOBOTA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;03;03;,00;,00
16;Z MATERIALNO ŠKODO;MARIBOR;01.01.2025;1;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00258;LJUBLJANSKA ULICA;88;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;MEGLA;REDEK;VLAŽNO;ASFALT;155835;549052;2;POVZROÈITELJ;24;ŽENSKI;PESNICA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;06;00;,62;1,29
17;Z MATERIALNO ŠKODO;ŠKOFJA LOKA;03.01.2025;9;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;53149;ŠKOFJA LOKA;00011;KIDRIÈEVA CESTA;33;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;NEZNANO;SUHO;ASFALT;114754;447560;1;UDELEŽENEC;56;ŽENSKI;;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;14;03;,00;,00
17;Z MATERIALNO ŠKODO;ŠKOFJA LOKA;03.01.2025;9;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;53149;ŠKOFJA LOKA;00011;KIDRIÈEVA CESTA;33;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;NEZNANO;SUHO;ASFALT;114754;447560;2;POVZROÈITELJ;81;MOŠKI;;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;61;05;,00;,00
18;Z MATERIALNO ŠKODO;GROSUPLJE;03.01.2025;9;NE;CESTA;REGIONALNA CESTA;00216;IVANÈNA GORICA - ÈRNOMELJ;01367;IVANÈNA GORICA-KRKA;470;CESTA;NEPRILAGOJENA HITROST;OSTALO;JASNO;TEKOÈ (NORMALEN);SNEŽENO - NEPLUŽENO;ASFALT;81124;477258;1;POVZROÈITELJ;27;MOŠKI;GROSUPLJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;09;11;,00;,00
19;Z MATERIALNO ŠKODO;POSTOJNA;03.01.2025;16;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;41038;POSTOJNA;00002;CESTA NA KREMENCO;2;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;NEZNANO;SUHO;ASFALT;70633;438829;1;UDELEŽENEC;45;ŽENSKI;;SLOVENIJA;BREZ POŠKODBE;OSTALO;NEZNANO;0;0;,00;,00
20;Z MATERIALNO ŠKODO;GROSUPLJE;03.01.2025;17;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;09047;GROSUPLJE;00032;TABORSKA CESTA;4;CESTA;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;TEKOÈ (NORMALEN);VLAŽNO;ASFALT;90866;473062;1;UDELEŽENEC;55;MOŠKI;;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;32;11;,00;,00
20;Z MATERIALNO ŠKODO;GROSUPLJE;03.01.2025;17;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;09047;GROSUPLJE;00032;TABORSKA CESTA;4;CESTA;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;TEKOÈ (NORMALEN);VLAŽNO;ASFALT;90866;473062;2;POVZROÈITELJ;43;MOŠKI;GROSUPLJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;19;11;,00;,00
21;Z MATERIALNO ŠKODO;TRBOVLJE;03.01.2025;19;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;56014;TRBOVLJE;00022;NOVI DOM;3;KROŽNO KRIŽIŠÈE;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;REDEK;MOKRO;ASFALT;112468;503659;1;POVZROÈITELJ;80;MOŠKI;TRBOVLJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;55;04;,00;,00
22;Z MATERIALNO ŠKODO;NOVO MESTO;03.01.2025;18;DA;CESTA;REGIONALNA CESTA II. REDA;00419;SOTESKA-NM-ÈATEŽ OB SAVI;01203;SOTESKA-NOVO MESTO;1800;CESTA;OSTALO;POVOŽENJE ŽIVALI;MEGLA;REDEK;POLEDENELO - POSIPANO;ASFALT;70138;502952;1;UDELEŽENEC;34;MOŠKI;;BOSNA IN HERCEGOVINA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;03;09;,00;,00
23;Z MATERIALNO ŠKODO;KAMNIK;03.01.2025;20;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;15047;MOTNIK;0;NI ODSEKOV;6;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;JASNO;REDEK;VLAŽNO;ASFALT;119497;491071;1;;-1;;;SLOVENIJA;;;;0;0;,00;,00
23;Z MATERIALNO ŠKODO;KAMNIK;03.01.2025;20;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;15047;MOTNIK;0;NI ODSEKOV;6;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;JASNO;REDEK;VLAŽNO;ASFALT;119497;491071;2;POVZROÈITELJ;33;ŽENSKI;KAMNIK;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;15;00;,00;,00
24;Z MATERIALNO ŠKODO;KRANJ;03.01.2025;22;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00007;KRANJ Z-KRANJ V;4350;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;PREVRNITEV VOZILA;OBLAÈNO;REDEK;MOKRO;ASFALT;123652;452829;1;;-1;;CELJE;SLOVENIJA;;;;0;0;,00;,00
24;Z MATERIALNO ŠKODO;KRANJ;03.01.2025;22;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00007;KRANJ Z-KRANJ V;4350;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;PREVRNITEV VOZILA;OBLAÈNO;REDEK;MOKRO;ASFALT;123652;452829;2;POVZROÈITELJ;50;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;04;10;,52;,00
25;Z MATERIALNO ŠKODO;LJUBLJANA;03.01.2025;17;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;28069;JAMOVA CESTA;105;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;NEZNANO;NEZNANO;SUHO;ASFALT;100120;459497;1;UDELEŽENEC;44;MOŠKI;ORMOŽ;SLOVENIJA;BREZ POŠKODBE;OSTALO;NE;25;10;,00;,00
25;Z MATERIALNO ŠKODO;LJUBLJANA;03.01.2025;17;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;28069;JAMOVA CESTA;105;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;NEZNANO;NEZNANO;SUHO;ASFALT;100120;459497;2;POVZROÈITELJ;66;MOŠKI;LJUBLJANA;BOSNA IN HERCEGOVINA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;18;01;,00;,00
26;Z MATERIALNO ŠKODO;LJUBLJANA;03.01.2025;20;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;26265;ZADOBROVŠKA CESTA;10;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;TEKOÈ (NORMALEN);MOKRO;ASFALT;101836;467829;1;UDELEŽENEC;26;ŽENSKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;OSTALO;NE;0;0;,00;,00
27;Z MATERIALNO ŠKODO;KAMNIK;01.01.2025;10;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;15064;POTOK PRI KOMENDI;0;NI ODSEKOV;8;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;JASNO;TEKOÈ (NORMALEN);VLAŽNO;ASFALT;118554;463264;1;POVZROÈITELJ;20;MOŠKI;KRANJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;02;09;,00;,00
27;Z MATERIALNO ŠKODO;KAMNIK;01.01.2025;10;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;15064;POTOK PRI KOMENDI;0;NI ODSEKOV;8;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;JASNO;TEKOÈ (NORMALEN);VLAŽNO;ASFALT;118554;463264;2;UDELEŽENEC;78;MOŠKI;DOMŽALE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;58;01;,00;,00
28;Z MATERIALNO ŠKODO;JESENICE;01.01.2025;0;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;14010;JESENICE-JESENICE;00015;CESTA TONETA TOMŠIÈA;10;KRIŽIŠÈE;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;144389;428082;1;POVZROÈITELJ;39;MOŠKI;JESENICE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;13;03;,00;,00
28;Z MATERIALNO ŠKODO;JESENICE;01.01.2025;0;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;14010;JESENICE-JESENICE;00015;CESTA TONETA TOMŠIÈA;10;KRIŽIŠÈE;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;144389;428082;2;UDELEŽENEC;61;MOŠKI;JESENICE;SLOVENIJA;BREZ POŠKODBE;OSTALO;NE;0;0;,00;,00
29;Z MATERIALNO ŠKODO;LJUBLJANA;03.01.2025;17;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00618;LJ DOLENJSKA-BARJANSKA;250;CESTA;OSTALO;TRÈENJE V OBJEKT;OBLAÈNO;TEKOÈ (NORMALEN);MOKRO;ASFALT;97235;464643;1;POVZROÈITELJ;69;MOŠKI;GROSUPLJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;48;02;,00;,00
30;Z MATERIALNO ŠKODO;KRANJ;04.01.2025;12;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00006;PODTABOR-KRANJ Z;2380;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;127988;445066;1;POVZROÈITELJ;63;MOŠKI;;HRVAŠKA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;39;08;,00;,00
31;Z MATERIALNO ŠKODO;ZAGORJE OB SAVI;04.01.2025;12;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;61017;IZLAKE;00001;IZLAKE;32;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;ÈELNO TRÈENJE;OBLAÈNO;TEKOÈ (NORMALEN);SUHO;ASFALT;112971;494565;1;UDELEŽENEC;50;ŽENSKI;ZAGORJE OB SAVI;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
31;Z MATERIALNO ŠKODO;ZAGORJE OB SAVI;04.01.2025;12;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;61017;IZLAKE;00001;IZLAKE;32;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;ÈELNO TRÈENJE;OBLAÈNO;TEKOÈ (NORMALEN);SUHO;ASFALT;112971;494565;2;POVZROÈITELJ;75;MOŠKI;ZAGORJE OB SAVI;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;54;00;,00;,00
32;Z MATERIALNO ŠKODO;IZOLA;04.01.2025;11;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;13005;JAGODJE;00019;JAGODJE;49;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;JASNO;REDEK;SUHO;ASFALT;43241;393741;1;POVZROÈITELJ;42;MOŠKI;IZOLA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
33;Z MATERIALNO ŠKODO;LJUBLJANA;04.01.2025;15;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;26070;TOPLARNIŠKA ULICA;10;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;JASNO;TEKOÈ (NORMALEN);VLAŽNO;ASFALT;101952;464681;1;UDELEŽENEC;28;ŽENSKI;TREBNJE;SLOVENIJA;BREZ POŠKODBE;OSTALO;NE;0;0;,00;,00
34;Z MATERIALNO ŠKODO;DOMŽALE;04.01.2025;14;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;06131;TRZIN;00004;LJUBLJANSKA CESTA;28;CESTA;PREMIKI Z VOZILOM;OPLAŽENJE;OBLAÈNO;TEKOÈ (NORMALEN);SUHO;ASFALT;109831;465828;1;POVZROÈITELJ;83;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;59;03;,00;,00
