ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
1;Z LAŽJO TELESNO POŠKODBO;POSTOJNA;01.01.2025;4;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;41036;PIVKA-PIVKA;00008;POSTOJNSKA CESTA;2;KRIŽIŠÈE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;OBLAÈNO;REDEK;MOKRO;ASFALT;60644;437494;1;POVZROÈITELJ;52;MOŠKI;POSTOJNA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;34;06;,00;,00
1;Z LAŽJO TELESNO POŠKODBO;POSTOJNA;01.01.2025;4;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;41036;PIVKA-PIVKA;00008;POSTOJNSKA CESTA;2;KRIŽIŠÈE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;OBLAÈNO;REDEK;MOKRO;ASFALT;60644;437494;2;UDELEŽENEC;34;MOŠKI;AJDOVŠÈINA;SLOVENIJA;BREZ POŠKODBE;VOZNIK SPECIALNEGA VOZILA;DA;16;06;,00;,00
1;Z LAŽJO TELESNO POŠKODBO;POSTOJNA;01.01.2025;4;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;41036;PIVKA-PIVKA;00008;POSTOJNSKA CESTA;2;KRIŽIŠÈE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;OBLAÈNO;REDEK;MOKRO;ASFALT;60644;437494;3;UDELEŽENEC;21;MOŠKI;POSTOJNA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
2;Z MATERIALNO ŠKODO;DOMŽALE;01.01.2025;5;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;06131;TRZIN;00033;BLATNICA;2;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;OBLAÈNO;REDEK;POLEDENELO - POSIPANO;ASFALT;109014;465249;1;POVZROÈITELJ;67;MOŠKI;DOMŽALE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;46;02;,00;,00
3;Z MATERIALNO ŠKODO;LJUBLJANA;01.01.2025;9;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;25094;MASARYKOVA CESTA;20;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;102097;462531;1;UDELEŽENEC;45;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
3;Z MATERIALNO ŠKODO;LJUBLJANA;01.01.2025;9;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;25094;MASARYKOVA CESTA;20;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;102097;462531;2;POVZROÈITELJ;38;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
4;Z MATERIALNO ŠKODO;GROSUPLJE;01.01.2025;4;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00622;GROSUPLJE-IVANÈNA GORICA;10580;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;TEKOÈ (NORMALEN);VLAŽNO;ASFALT;89693;482482;1;;-1;;;SLOVENIJA;;;;0;0;,00;,00
4;Z MATERIALNO ŠKODO;GROSUPLJE;01.01.2025;4;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00622;GROSUPLJE-IVANÈNA GORICA;10580;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;TEKOÈ (NORMALEN);VLAŽNO;ASFALT;89693;482482;2;POVZROÈITELJ;20;MOŠKI;TREBNJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;01;00;,41;,00
5;Z MATERIALNO ŠKODO;LJUBLJANA;02.01.2025;10;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;01562;BOŽIÈEVA ULICA;1;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;OBLAÈNO;REDEK;SUHO;ASFALT;104072;463134;1;POVZROÈITELJ;28;MOŠKI;LJUBLJANA;BOSNA IN HERCEGOVINA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;10;00;,00;,00
6;Z MATERIALNO ŠKODO;NOVO MESTO;02.01.2025;17;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;38225;POLJANE PRI MIRNI PEÈI;0;NI ODSEKOV;10;CESTA;NEPRILAGOJENA HITROST;ÈELNO TRÈENJE;OBLAÈNO;REDEK;VLAŽNO;ASFALT;83669;506861;1;POVZROÈITELJ;29;ŽENSKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;09;07;,00;,00
7;Z MATERIALNO ŠKODO;LJUBLJANA;02.01.2025;19;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;28233;TRŽAŠKA CESTA;330;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;DEŽEVNO;TEKOÈ (NORMALEN);MOKRO;ASFALT;98842;456233;1;POVZROÈITELJ;25;MOŠKI;VRHNIKA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;05;01;,00;,00
