ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
5849;S HUDO TELESNO POŠKODBO;;03.05.2026;17;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00656;POSTOJNA-RAZDRTO;3600;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;GOST;SUHO;ASFALT;69545;433837;3;UDELEŽENEC;43;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;21;06;,00;,00
5849;S HUDO TELESNO POŠKODBO;;03.05.2026;17;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00656;POSTOJNA-RAZDRTO;3600;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;GOST;SUHO;ASFALT;69545;433837;4;UDELEŽENEC;22;ŽENSKI;SEŽANA;SLOVENIJA;HUDA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
5849;S HUDO TELESNO POŠKODBO;;03.05.2026;17;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00656;POSTOJNA-RAZDRTO;3600;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;GOST;SUHO;ASFALT;69545;433837;5;UDELEŽENEC;44;ŽENSKI;LJUBLJANA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
5849;S HUDO TELESNO POŠKODBO;;03.05.2026;17;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00656;POSTOJNA-RAZDRTO;3600;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;GOST;SUHO;ASFALT;69545;433837;6;UDELEŽENEC;9;ŽENSKI;LJUBLJANA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
5849;S HUDO TELESNO POŠKODBO;;03.05.2026;17;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00656;POSTOJNA-RAZDRTO;3600;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;GOST;SUHO;ASFALT;69545;433837;7;UDELEŽENEC;60;MOŠKI;IZOLA;RUSIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;37;06;,00;,00
5849;S HUDO TELESNO POŠKODBO;;03.05.2026;17;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00656;POSTOJNA-RAZDRTO;3600;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;GOST;SUHO;ASFALT;69545;433837;8;UDELEŽENEC;61;ŽENSKI;IZOLA;RUSIJA;HUDA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
5850;Z LAŽJO TELESNO POŠKODBO;;08.05.2026;19;NE;CESTA;LOKALNA CESTA;94925;BRANOSLAVCI-ZG.KAMENŠÈAK;0;NI ODSEKOV;0;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;JASNO;REDEK;SUHO;ASFALT;154374;586542;1;POVZROÈITELJ;39;MOŠKI;;HRVAŠKA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;21;06;,80;,00
5851;Z MATERIALNO ŠKODO;;16.04.2026;10;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;54150;ŠMARJE PRI JELŠAH;00010;BEVKOVA ULICA;1;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;120951;539638;1;POVZROÈITELJ;27;MOŠKI;NEZNANA UE;HRVAŠKA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;07;06;,00;,00
5851;Z MATERIALNO ŠKODO;;16.04.2026;10;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;54150;ŠMARJE PRI JELŠAH;00010;BEVKOVA ULICA;1;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;120951;539638;2;POVZROÈITELJ;27;MOŠKI;NEZNANA OBÈ;HRVAŠKA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;07;06;,00;,00
5852;Z MATERIALNO ŠKODO;;26.04.2026;19;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;13004;IZOLA;00105;ULICA IX. KORPUSA;22;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;NEZNANO;NEZNANO;SUHO;ASFALT;44238;395389;1;UDELEŽENEC;76;MOŠKI;IZOLA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;52;10;,00;,00
5853;Z MATERIALNO ŠKODO;;30.04.2026;21;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;60015;LUKOVICA PRI BREZOVICI;00003;POT NA PLEŠIVICO;5;CESTA;PREMIKI Z VOZILOM;OSTALO;NEZNANO;NEZNANO;SUHO;OSTALO;96815;454087;1;UDELEŽENEC;35;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;OSTALO;DA;11;05;,00;,00
5854;Z LAŽJO TELESNO POŠKODBO;;10.05.2026;10;NE;CESTA;REGIONALNA CESTA II. REDA;00452;HRUŠICA-JAVORNIK-ÈRNIVEC;00208;LESCE-ÈRNIVEC;1300;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;PREVRNITEV VOZILA;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;135774;436077;1;POVZROÈITELJ;45;ŽENSKI;RADOVLJICA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;27;05;,00;,00
5854;Z LAŽJO TELESNO POŠKODBO;;10.05.2026;10;NE;CESTA;REGIONALNA CESTA II. REDA;00452;HRUŠICA-JAVORNIK-ÈRNIVEC;00208;LESCE-ÈRNIVEC;1300;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;PREVRNITEV VOZILA;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;135774;436077;2;UDELEŽENEC;19;MOŠKI;RADOVLJICA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK MOTORNEGA KOLESA;DA;0;0;,00;,00
5855;Z LAŽJO TELESNO POŠKODBO;;10.05.2026;6;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;44003;BLED;00004;CESTA SVOBODE;7;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;JASNO;REDEK;SUHO;ASFALT;137127;431284;1;POVZROÈITELJ;17;MOŠKI;RADOVLJICA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;KOLESAR;NE;0;0;,00;,00
5856;Z LAŽJO TELESNO POŠKODBO;;05.05.2026;11;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;64033;MARIBOR;00266;MAISTROVA ULICA;1;KRIŽIŠÈE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;TRÈENJE V KOLESARJA;JASNO;GOST;SUHO;ASFALT;158378;549864;1;UDELEŽENEC;54;MOŠKI;MARIBOR;SLOVENIJA;LAŽJA TELESNA POŠKODBA;KOLESAR;;0;0;,00;,00
